chair:tvmonitor;0.983405:0.947046;1.958261:0.611149:0.000000;0.384976:0.000000:0.000000:-0.922927;31.565398
chair:tvmonitor;0.880033:0.969752;1.958261:0.611149:0.000000;0.384976:0.000000:0.000000:-0.922927;31.667592
chair:tvmonitor;0.991071:0.939088;1.958261:0.611149:0.000000;0.384976:0.000000:0.000000:-0.922927;31.768246
chair:chair:tvmonitor;0.990296:0.910336:0.979031;1.958610:0.616555:0.000000;0.331681:0.000000:0.000000:-0.943391;31.868018
chair:tvmonitor;0.976876:0.762985;1.958610:0.616555:0.000000;0.331681:0.000000:0.000000:-0.943391;31.969753
chair:chair:tvmonitor;0.987486:0.772936:0.882930;1.958610:0.616555:0.000000;0.331681:0.000000:0.000000:-0.943391;32.070820
chair:chair:tvmonitor;0.986367:0.736343:0.954589;1.952940:0.626831:0.000000;0.277242:0.000000:0.000000:-0.960800;32.172457
chair;0.950238;1.952940:0.626831:0.000000;0.277242:0.000000:0.000000:-0.960800;32.274002
chair:tvmonitor;0.981146:0.711363;1.952940:0.626831:0.000000;0.277242:0.000000:0.000000:-0.960800;32.375725
chair:tvmonitor;0.989884:0.729528;1.952940:0.626831:0.000000;0.277242:0.000000:0.000000:-0.960800;32.477795
chair;0.987405;1.952940:0.626831:0.000000;0.277242:0.000000:0.000000:-0.960800;32.580301
chair;0.986895;1.952940:0.626831:0.000000;0.277242:0.000000:0.000000:-0.960800;32.681517
chair;0.984053;1.952940:0.626831:0.000000;0.277242:0.000000:0.000000:-0.960800;32.784745
chair;0.979677;1.952940:0.626831:0.000000;0.277242:0.000000:0.000000:-0.960800;32.886265
chair;0.962304;1.952940:0.626831:0.000000;0.277242:0.000000:0.000000:-0.960800;32.987212
chair;0.969362;1.937228:0.617582:0.000000;0.226202:0.000000:0.000000:-0.974080;33.088828
chair;0.903248;1.937228:0.617582:0.000000;0.226202:0.000000:0.000000:-0.974080;33.190708
chair;0.937923;1.937228:0.617582:0.000000;0.226202:0.000000:0.000000:-0.974080;33.292640
chair;0.971023;1.937228:0.617582:0.000000;0.226202:0.000000:0.000000:-0.974080;33.393548
chair;0.954654;1.937228:0.617582:0.000000;0.226202:0.000000:0.000000:-0.974080;33.495686
chair;0.933969;1.937228:0.617582:0.000000;0.226202:0.000000:0.000000:-0.974080;33.598203
chair;0.958374;1.937228:0.617582:0.000000;0.226202:0.000000:0.000000:-0.974080;33.699184
chair;0.970130;1.937228:0.617582:0.000000;0.226202:0.000000:0.000000:-0.974080;33.801366
chair;0.969886;1.937228:0.617582:0.000000;0.226202:0.000000:0.000000:-0.974080;33.901912
